city,site,season,species,count,lat,long,days.active,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income,Pct_Units_Lead,PM2.5_Count,Average_PTSDF,Prox_Heavy_Traffic_Roadways,Average_PNPL,Average_RSEI_Concentrations,Average_PWDIS,Annual_Tons_Km2_Diesel_NOx,LEAD_PCT,PM25_PCT,HAZARD_PCT,TRAFFIC_PCT,PNPL_PCT,TOXIC_PCT,PWDIS_PCT,DIESEL_PCT,EXPOSURE,EFFECT,BURDEN,BURDEN_SCALED,BURDEN_PERCENTILE,pop_density
tawa,P-STP,Spring19,Coyote,2,47.2853088378906,-122.491737365723,38,538434.742354879,5236995.49612524,0.00773638968481375,0,0,0,0.0455587392550143,0.0369627507163324,0,0,0,0,0,0,0,0,0,0.00573065902578797,0.62865329512894,0,0,7.5375,1.27347978350844,32.378223495702,123.639610306789,0.871881698527641,0.0902578796561605,0,0,0.0902578796561605,0.0902578796561605,0.0959885386819484,0.62865329512894,tawa_P-STP,14.3467048710602,101581.4890625,399.2,75,110.2,211,15.7,42.1,328,336.2,67,20,26,49,41,11,72,61,30.666666666666668,25.75,37.611111111111114,5.972651080723423,33,1494.43670959473
tawa,P-STP,Summer19,Coyote,9,47.2853088378906,-122.491737365723,37,538434.742354879,5236995.49612524,0.00773638968481375,0,0,0,0.0455587392550143,0.0369627507163324,0,0,0,0,0,0,0,0,0,0.00573065902578797,0.62865329512894,0,0,7.5375,1.27347978350844,32.378223495702,123.639610306789,0.871881698527641,0.0902578796561605,0,0,0.0902578796561605,0.0902578796561605,0.0959885386819484,0.62865329512894,tawa_P-STP,14.3467048710602,101581.4890625,399.2,75,110.2,211,15.7,42.1,328,336.2,67,20,26,49,41,11,72,61,30.666666666666668,25.75,37.611111111111114,5.972651080723423,33,1494.43670959473
tawa,P-STP,Fall19,Coyote,5,47.2853088378906,-122.491737365723,36,538434.742354879,5236995.49612524,0.00773638968481375,0,0,0,0.0455587392550143,0.0369627507163324,0,0,0,0,0,0,0,0,0,0.00573065902578797,0.62865329512894,0,0,7.5375,1.27347978350844,32.378223495702,123.639610306789,0.871881698527641,0.0902578796561605,0,0,0.0902578796561605,0.0902578796561605,0.0959885386819484,0.62865329512894,tawa_P-STP,14.3467048710602,101581.4890625,399.2,75,110.2,211,15.7,42.1,328,336.2,67,20,26,49,41,11,72,61,30.666666666666668,25.75,37.611111111111114,5.972651080723423,33,1494.43670959473
tawa,P-DPV,Winter19,Coyote,9,47.3165092468262,-122.543640136719,36,534489.572431155,5240438.58287108,0.239242685025818,0,0,0,0.0146299483648881,0.00803212851405622,0,0,0,0,0,0,0,0,0,0.00200803212851406,0.0527825588066552,0,0,27.6,0.956205775482884,39.8737808376363,60,0.767044009172965,0.261904761904762,0,0,0.261904761904762,0.261904761904762,0.263912794033276,0.0527825588066552,tawa_P-DPV,1.14899713467049,84868,186,75,69,260,9,33,328,32,26,14,15,60,27,5,66,9,9.333333333333334,16.75,17.38888888888889,2.7613586237318044,7,0
tawa,P-DPV,Summer19,Coyote,4,47.3165092468262,-122.543640136719,36,534489.572431155,5240438.58287108,0.239242685025818,0,0,0,0.0146299483648881,0.00803212851405622,0,0,0,0,0,0,0,0,0,0.00200803212851406,0.0527825588066552,0,0,27.6,0.956205775482884,39.8737808376363,60,0.767044009172965,0.261904761904762,0,0,0.261904761904762,0.261904761904762,0.263912794033276,0.0527825588066552,tawa_P-DPV,1.14899713467049,84868,186,75,69,260,9,33,328,32,26,14,15,60,27,5,66,9,9.333333333333334,16.75,17.38888888888889,2.7613586237318044,7,0
tawa,P-PDP,Spring19,Coyote,2,47.3060722351074,-122.518348693848,37,536408.146728331,5239290.19745876,0.158843732112192,0,0,0,0.0068689181453921,0.0140240412135089,0,0.00400686891814539,0,0.0068689181453921,0,0,0,0,0,0.00143102461362335,0.444476244991414,0,0,8.62714285714286,2.22603828785855,34.4399923678687,61.0117199035705,1.04513863374988,0.179736691471093,0.00400686891814539,0.0068689181453921,0.183743560389239,0.190612478534631,0.192043503148254,0.444476244991414,tawa_P-PDP,10.2234924264075,84868,186,75,69,260,9,33,328,32,28,18,17,62,29,7,70,11,12,18,20,3.17600352889281,12,1051.02642483181
tawa,P-PCNA2,Spring19,Coyote,1,47.2768325805664,-122.484329223633,38,539001.172589718,5236057.19491005,0.0114942528735632,0,0,0,0.0376436781609195,0.0310344827586207,0,0,0,0,0,0,0,0,0,0.00747126436781609,0.810344827586207,0,0,4.575,1.91570881226054,32.3754789272031,153.58830001499,0.616636765464577,0.0801724137931034,0,0,0.0801724137931034,0.0801724137931034,0.0876436781609195,0.810344827586207,tawa_P-PCNA2,18.7055285018619,111177.802283654,415.6923076923077,75,162.76923076923077,231.6153846153846,24.46153846153846,58.07692307692308,328,357.84615384615387,69,17,36,53,47,13,69,63,31,27.625,39.083333333333336,6.206440229378033,38,1822.54291475736
tawa,P-PCNA2,Winter20,Coyote,3,47.2768325805664,-122.484329223633,37,539001.172589718,5236057.19491005,0.0114942528735632,0,0,0,0.0376436781609195,0.0310344827586207,0,0,0,0,0,0,0,0,0,0.00747126436781609,0.810344827586207,0,0,4.575,1.91570881226054,32.3754789272031,153.58830001499,0.616636765464577,0.0801724137931034,0,0,0.0801724137931034,0.0801724137931034,0.0876436781609195,0.810344827586207,tawa_P-PCNA2,18.7055285018619,111177.802283654,415.6923076923077,75,162.76923076923077,231.6153846153846,24.46153846153846,58.07692307692308,328,357.84615384615387,69,17,36,53,47,13,69,63,31,27.625,39.083333333333336,6.206440229378033,38,1822.54291475736
tawa,P-PCNA2,Fall19,Coyote,7,47.2768325805664,-122.484329223633,36,539001.172589718,5236057.19491005,0.0114942528735632,0,0,0,0.0376436781609195,0.0310344827586207,0,0,0,0,0,0,0,0,0,0.00747126436781609,0.810344827586207,0,0,4.575,1.91570881226054,32.3754789272031,153.58830001499,0.616636765464577,0.0801724137931034,0,0,0.0801724137931034,0.0801724137931034,0.0876436781609195,0.810344827586207,tawa_P-PCNA2,18.7055285018619,111177.802283654,415.6923076923077,75,162.76923076923077,231.6153846153846,24.46153846153846,58.07692307692308,328,357.84615384615387,69,17,36,53,47,13,69,63,31,27.625,39.083333333333336,6.206440229378033,38,1822.54291475736
tawa,P-CUP,Spring19,Coyote,19,47.2729530334473,-122.471321105957,38,539987.921937552,5235632.64272058,0,0,0,0,0.0309544282029235,0.0186299799369447,0,0,0,0,0,0,0,0,0,0.0060189165950129,0.776440240756664,0,0,4.365,1.27384478201331,24.1712047387026,327.738636073762,0.656776297661713,0.0495844081398682,0,0,0.0495844081398682,0.0495844081398682,0.0556033247348811,0.776440240756664,tawa_P-CUP,17.7389317337903,111355.524739583,422.0833333333333,96.5,220,262.3333333333333,34.75,100.5,303.6666666666667,296.6666666666667,73,24,48,64,55,17,48,55,32,28,40,6.35200705778562,41,2266.67055257161
tawa,P-CUP,Spring20,Coyote,4,47.2729530334473,-122.471321105957,44,539987.921937552,5235632.64272058,0,0,0,0,0.0309544282029235,0.0186299799369447,0,0,0,0,0,0,0,0,0,0.0060189165950129,0.776440240756664,0,0,4.365,1.27384478201331,24.1712047387026,327.738636073762,0.656776297661713,0.0495844081398682,0,0,0.0495844081398682,0.0495844081398682,0.0556033247348811,0.776440240756664,tawa_P-CUP,17.7389317337903,111355.524739583,422.0833333333333,96.5,220,262.3333333333333,34.75,100.5,303.6666666666667,296.6666666666667,73,24,48,64,55,17,48,55,32,28,40,6.35200705778562,41,2266.67055257161
tawa,P-CUP,Winter19,Coyote,8,47.2729530334473,-122.471321105957,37,539987.921937552,5235632.64272058,0,0,0,0,0.0309544282029235,0.0186299799369447,0,0,0,0,0,0,0,0,0,0.0060189165950129,0.776440240756664,0,0,4.365,1.27384478201331,24.1712047387026,327.738636073762,0.656776297661713,0.0495844081398682,0,0,0.0495844081398682,0.0495844081398682,0.0556033247348811,0.776440240756664,tawa_P-CUP,17.7389317337903,111355.524739583,422.0833333333333,96.5,220,262.3333333333333,34.75,100.5,303.6666666666667,296.6666666666667,73,24,48,64,55,17,48,55,32,28,40,6.35200705778562,41,2266.67055257161
