"city","site","utm_est","utm_nrt","for_ever_temp","for_ever_taig","for_ever_trop","for_dec_trop","for_dec_temp","for_mix","shrub_trop","shrub_temp","grass_trop","grass_temp","shrub_lich","grass_lich","barren_lich","wetland","cropland","barren","urban","water","ice","mpa_undev","pd_undev","ed_undev","enn_mn_undev","sdhi","for_all","shrub_all","grass_all","veg_woody","veg_all","natural","develop","city_site","Impervious"
"sewa","JBP1",559765.71052462,5282773.69415098,0.0146089945574334,0,0,0,0.0896591234603265,0.0343741048410198,0,0.00515611572615296,0,0.00171870524205099,0,0,0,0.0836436551131481,0.00572901747350329,0.00143225436837582,0.732168433113721,0.0315095961042681,0,4.528125,5.09245997644737,68.7482096820395,87.4730697086622,0.705070493228895,0.13864222285878,0.00515611572615296,0.00171870524205099,0.143798338584933,0.145517043826984,0.230592953308508,0.737897450587224,"sewa_JBP1",17.3955288048151
"sewa","LTP1",545529.54155255,5278115.22618849,0,0,0,0,0.0137812230835487,0.00516795865633075,0,0.0134941142693081,0,0,0,0,0,0.0111972437553833,0.00258397932816537,0.00344530577088717,0.937984496124031,0.0123456790123457,0,2.952,1.59504896800332,14.3554407120299,253.19949147857,0.273584534783252,0.0189491817398794,0.0134941142693081,0,0.0324432960091875,0.0324432960091875,0.0470858455354579,0.940568475452196,"sewa_LTP1",21.552752293578
"sewa","LWP2",549184.24326356,5279743.24675083,0.0232158211521926,0,0,0,0.00229292060762396,0.0103181427343078,0,0.0530237890513041,0,0,0,0,0,0.00372599598738894,0.0160504442533677,0.00687876182287188,0.758383490971625,0.126110633419318,0,2.83909090909091,3.50307315053661,40.3171873507213,104.54967192121,0.766735712274785,0.0358268844941244,0.0530237890513041,0,0.0888506735454285,0.0888506735454285,0.0994554313556893,0.774433935224993,"sewa_LWP2",17.6319862424764
"sewa","MBC1",568352.260581209,5283871.71465713,0.0396551724137931,0,0,0,0.0408045977011494,0.0310344827586207,0,0.00919540229885057,0,0.00632183908045977,0,0,0,0.118103448275862,0.0781609195402299,0.0028735632183908,0.673850574712644,0,0,7.06090909090909,3.51213282247765,58.0459770114943,103.875296392827,0.811019918428865,0.111494252873563,0.00919540229885057,0.00632183908045977,0.120689655172414,0.127011494252874,0.247988505747126,0.752011494252874,"sewa_MBC1",15.9945558739255
"sewa","MBC2",568346.651203952,5283838.30242355,0.0369839449541284,0,0,0,0.0384174311926605,0.0280963302752294,0,0.00917431192660551,0,0.00630733944954128,0,0,0,0.119266055045872,0.0794151376146789,0.00286697247706422,0.67947247706422,0,0,6.3075,3.82262996941896,56.7660550458716,109.138044165393,0.80671863590694,0.103497706422018,0.00917431192660551,0.00630733944954128,0.112672018348624,0.118979357798165,0.241112385321101,0.758887614678899,"sewa_MBC2",16.1194842406877
"sewa","MGP1",556220.747419363,5281190.79323275,0.00201091640333238,0,0,0,0,0.00517092789428325,0,0.00402183280666475,0,0.00746911806952025,0,0,0,0,0.0818730249928181,0.00890548692904338,0.427176098822178,0.46337259408216,0,1.728,1.59596539947014,15.8958153787226,375.173068960293,1.02369601847513,0.00718184429761563,0.00402183280666475,0.00746911806952025,0.0112036771042804,0.0186727951738006,0.027578282102844,0.509049123814996,"sewa_MGP1",9.94218660560962
"sewa","MPO1",567038.854514861,5255552.89848812,0.0388377445339471,0,0,0,0.0497698504027618,0.477848101265823,0,0.0348101265822785,0,0.000575373993095512,0,0,0,0.0330840046029919,0.0207134637514384,0,0.305235903337169,0.0391254315304948,0,24.82875,2.55721774709117,76.5247410817031,64.6352549156242,0.857738298034502,0.566455696202532,0.0348101265822785,0.000575373993095512,0.60126582278481,0.601841196777906,0.634925201380898,0.325949367088608,"sewa_MPO1",7.259874069834
"sewa","MSR1",552022.295068534,5266500.38908614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143266475644699,0,0.998567335243553,0,0,0,0,0,0,0.0108130407278665,0,0,0,0,0,0,1,"sewa_MSR1",22.8428448523086
"sewa","MWP1",551267.293371235,5267726.08042354,0,0,0,0,0.00143348623853211,0.0131880733944954,0,0,0,0,0,0,0,0,0.0091743119266055,0.00200688073394495,0.97276376146789,0.00143348623853211,0,2.61,0.63710499490316,5.25611620795107,678.822509939086,0.147408514106752,0.0146215596330275,0,0,0.0146215596330275,0.0146215596330275,0.0166284403669725,0.981938073394495,"sewa_MWP1",22.5385055825938
"sewa","MWP2",551201.332639502,5267703.50612966,0,0,0,0,0.000573065902578797,0.0126074498567335,0,0,0,0,0,0,0,0,0.00916905444126074,0.00200573065902579,0.974785100286533,0.000859598853868195,0,2.385,0.636739891754218,4.9665711556829,678.822509939086,0.137573083170824,0.0131805157593123,0,0,0.0131805157593123,0.0131805157593123,0.0151862464183381,0.983954154727794,"sewa_MWP2",22.5723703066781
