city,site,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income
sewa,TMF1,579211.2067,5252682.463,0.03955288,0,0,0,0.249355116,0.493264546,0,0.032387504,0,0,0,0,0,0.000286615,0.059902551,0,0.125250788,0,0,28.43,2.86615076,36.9733448,69.8142397,0.595672698,0.782172542,0.032387504,0,0.814560046,0.814560046,0.814846661,0.185153339,sewa_TMF1,3.327596099,119618
sewa,TMP1,548829.4775,5268400.075,0,0,0,0,0.053023789,0,0,0,0,0.003439381,0,0,0,0.006878762,0,0.007738607,0.766122098,0.162797363,0,2.48,2.86615076,20.44520875,121.0545444,0.687555997,0.053023789,0,0.003439381,0.053023789,0.05646317,0.071080539,0.766122098,sewa_TMP1,17.97213444,86887.20033
sewa,TRN1,572271.5722,5252285.004,0.041666667,0,0,0,0.075,0.347413793,0,0.023275862,0,0,0,0,0,0.033045977,0,0,0.47816092,0.001436782,0,27.165,1.915708812,92.14559387,83.02775638,0.702097549,0.46408046,0.023275862,0,0.487356322,0.487356322,0.520402299,0.47816092,sewa_TRN1,11.52240092,89833.93177
sewa,WCP2,549880.0125,5263942.059,0.037643678,0,0,0,0.120977011,0.024137931,0,0.002586207,0,0.003735632,0,0,0,0.001436782,0.002298851,0.008908046,0.793103448,0.005172414,0,12.492,1.59642401,36.59003831,101.2228896,0.546575213,0.182758621,0.002586207,0.003735632,0.185344828,0.18908046,0.199425287,0.795402299,sewa_WCP2,18.53445811,63216.24637
sewa,WDG1,549239.4008,5265548.217,0,0,0,0,0.183720264,0.025222127,0,0,0,0,0,0,0,0.00171969,0.005732302,0.005732302,0.7357409,0.042132416,0,16.9875,1.273844782,34.39380911,153.6512474,0.720025606,0.20894239,0,0,0.20894239,0.20894239,0.216394382,0.741473201,sewa_WDG1,17.01831187,82988.56689
tawa,B-TP,533873.0857,5233322.437,0.02546495,0,0,0,0.026895565,0.022889843,0,0,0,0,0,0,0,0,0,0.033190272,0.38769671,0,0,6.822,1.589572405,27.65855985,62.83281573,0.953634994,0.075250358,0,0,0.075250358,0.075250358,0.108440629,0.38769671,tawa_B-TP,8.952694954,84529.71289
tawa,G-CBP1,543422.4456,5226251.126,0.004016064,0,0,0,0.007458405,0.016351119,0,0.008032129,0,0,0,0,0,0.004589788,0,0,0.959552496,0,0,12.69,0.318735258,9.179575445,0,0.169363742,0.027825588,0.008032129,0,0.035857717,0.035857717,0.040447504,0.959552496,tawa_G-CBP1,22.25257732,49967.32318
tawa,G-CLP3,537039.8429,5232645.334,0.026361032,0,0,0,0.002005731,0.003151862,0,0,0,0.004011461,0,0,0,0.003438395,0,0,0.961031519,0,0,3.06,1.273479784,12.22540592,449.558447,0.164651956,0.031518625,0,0.004011461,0.031518625,0.035530086,0.038968481,0.961031519,tawa_G-CLP3,22.18447436,63218.79272
tawa,G-FN1,535470.924,5239009.337,0.351506456,0,0,0,0.006886657,0.020373027,0,0.001721664,0,0.004878049,0,0,0,0,0,0.011764706,0.310473458,0,0,12.456,3.188267177,73.55332377,60.70820393,1.089437221,0.378766141,0.001721664,0.004878049,0.380487805,0.385365854,0.39713056,0.310473458,tawa_G-FN1,7.379764976,88606
tawa,G-FP1,539350.1605,5232700.13,0.000573394,0,0,0,0,0.00315367,0,0,0,0,0,0,0,0,0,0,0.996272936,0,0,0.585,0.637104995,1.529051988,295.4657341,0.024562354,0.003727064,0,0,0.003727064,0.003727064,0.003727064,0.996272936,tawa_G-FP1,22.8812733,69681.7401
