Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP093,YH,River otter,4/14/22,4,LNM,Seattle,47.60452,-122.28271,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP094,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP095,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP096,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP097,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP098,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP099,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP100,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP101,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP102,YH,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP103,SK,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP104,SK,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP105,SK,River otter,4/14/22,4,LNM,Seattle,47.60462,-122.28269,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP106,SK,River otter,4/14/22,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP107,SK,River otter,4/14/22,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP108,SK,River otter,4/14/22,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP109,SK,River otter,4/14/22,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP110,YH,River otter,4/15/22,4,CWG,Kent,47.38857,-122.27320,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP110A,YH,River otter,4/14/22,4,LNM,Seattle,47.60475,-122.28266,199,A,A,,,Yes,,,,,,,,,,,,,,,,,,,,,
UCP111,YH,River otter,4/15/22,4,CWG,Kent,47.38857,-122.27320,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP112,YH,River otter,4/15/22,4,CWG,Kent,47.38857,-122.27320,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP113,YH,River otter,4/15/22,4,CWG,Kent,47.38851,-122.27329,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP114,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
