station,season,species,photodate,phototime
DRP2,Fall19,Procyon lotor,2019-10-10,19:22:07
DRP2,Fall19,Procyon lotor,2019-10-11,04:08:01
DRP2,Fall19,Procyon lotor,2019-10-11,05:31:12
DRP2,Fall19,Procyon lotor,2019-10-03,00:12:09
DRP2,Fall19,Procyon lotor,2019-10-03,00:14:40
DRP2,Fall19,Procyon lotor,2019-10-03,05:05:27
DRP2,Fall19,Procyon lotor,2019-10-12,01:05:46
DRP2,Fall19,Procyon lotor,2019-10-12,01:07:20
DRP2,Fall19,Procyon lotor,2019-10-12,04:33:30
DRP2,Fall19,Procyon lotor,2019-10-03,05:09:09
DRP2,Fall19,Procyon lotor,2019-10-13,01:17:25
DRP2,Fall19,Procyon lotor,2019-10-13,01:48:14
DRP2,Fall19,Procyon lotor,2019-10-13,02:29:44
DRP2,Fall19,Procyon lotor,2019-10-13,03:18:41
DRP2,Fall19,Procyon lotor,2019-10-13,22:48:21
DRP2,Fall19,Procyon lotor,2019-10-13,22:50:17
DRP2,Fall19,Procyon lotor,2019-10-13,23:40:50
DRP2,Fall19,Procyon lotor,2019-10-14,01:28:59
DRP2,Fall19,Procyon lotor,2019-10-14,01:35:32
DRP2,Fall19,Procyon lotor,2019-10-15,00:22:10
DRP2,Fall19,Procyon lotor,2019-10-15,04:10:27
DRP2,Fall19,Procyon lotor,2019-10-15,04:13:08
DRP2,Fall19,Procyon lotor,2019-10-15,05:11:45
DRP2,Fall19,Procyon lotor,2019-10-15,05:36:37
DRP2,Fall19,Procyon lotor,2019-10-15,05:39:38
DRP2,Fall19,Procyon lotor,2019-10-15,05:41:29
DRP2,Fall19,Procyon lotor,2019-10-15,05:47:29
DRP2,Fall19,Procyon lotor,2019-10-15,05:50:08
DRP2,Fall19,Procyon lotor,2019-10-15,05:52:42
DRP2,Fall19,Procyon lotor,2019-10-15,05:56:16
DRP2,Fall19,Procyon lotor,2019-10-15,05:57:19
DRP2,Fall19,Procyon lotor,2019-10-15,18:59:15
DRP2,Fall19,Procyon lotor,2019-10-15,19:00:24
DRP2,Fall19,Procyon lotor,2019-10-15,19:24:08
DRP2,Fall19,Procyon lotor,2019-10-15,22:26:15
DRP2,Fall19,Procyon lotor,2019-10-16,03:09:25
DRP2,Fall19,Procyon lotor,2019-10-16,03:10:59
DRP2,Fall19,Procyon lotor,2019-10-16,03:12:21
DRP2,Fall19,Procyon lotor,2019-10-16,03:13:34
DRP2,Fall19,Procyon lotor,2019-10-16,03:48:19
DRP2,Fall19,Procyon lotor,2019-10-16,03:50:38
DRP2,Fall19,Procyon lotor,2019-10-16,03:55:54
DRP2,Fall19,Procyon lotor,2019-10-16,11:39:37
DRP2,Fall19,Procyon lotor,2019-10-16,13:00:49
DRP2,Fall19,Procyon lotor,2019-10-17,03:15:05
DRP2,Fall19,Procyon lotor,2019-10-17,04:00:20
DRP2,Fall19,Procyon lotor,2019-10-17,04:01:36
